,name,category,sub_category,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Probiotics,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates
118,brownie,nosh,Baked,55.0,4.0,25.0,250.0,0.2,0.2,2.0,0.5,0.1,4.0,30.0,0.5,1.0,0.5,1.5,10.0,70.0,2.5,70.0,80.0,200.0,150.0,1.0,180.0,0.5,10.0,15.0,250.0,300.0,250.0,500.0,100.0,800.0,400.0,200.0,250.0,300.0,500.0,400.0,150.0,300.0,550.0,300.0,250.0,150.0,300.0,350.0,12.0,8.0,2.0,0.3,1.5,0.5,8.0,150.0,14.0,0.8,8.0,20.0,10.0,28.0,45.0,30.0,1.0,80.0,5.0,0.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
119,muffin,nosh,Baked,50.0,6.0,18.0,300.0,0.2,0.15,1.2,0.4,0.05,5.0,40.0,0.6,0.8,0.6,1.2,12.0,60.0,2.0,25.0,60.0,130.0,250.0,0.7,160.0,0.4,12.0,12.0,200.0,280.0,220.0,480.0,90.0,750.0,300.0,180.0,270.0,280.0,420.0,300.0,100.0,280.0,400.0,280.0,220.0,100.0,180.0,300.0,8.0,7.0,2.0,0.2,1.8,0.4,6.0,200.0,12.0,0.7,6.0,18.0,9.0,22.0,55.0,35.0,1.5,70.0,6.0,0.0,1.2,20.0,0.0,0.0,0.0,1.2,1.8,1.1,1.2
120,bread,nosh,Baked,50.0,9.0,2.0,100.0,0.5,0.4,4.0,0.8,0.2,6.0,50.0,0.5,1.0,0.2,1.0,15.0,150.0,3.5,30.0,120.0,180.0,400.0,1.2,150.0,0.6,15.0,20.0,300.0,350.0,300.0,600.0,80.0,800.0,350.0,200.0,300.0,350.0,550.0,350.0,120.0,300.0,500.0,300.0,250.0,120.0,200.0,350.0,0.5,0.5,0.5,0.05,0.25,0.0,4.0,100.0,8.0,0.5,4.0,15.0,6.0,18.0,30.0,25.0,2.0,0.0,4.0,0.0,1.5,30.0,0.0,0.0,0.0,0.5,1.0,0.8,0.9
121,croissant,nosh,Baked,45.0,7.0,25.0,400.0,0.4,0.3,2.5,0.7,0.2,8.0,45.0,0.8,0.5,0.4,1.8,20.0,100.0,3.0,35.0,90.0,150.0,300.0,1.0,200.0,0.7,12.0,25.0,250.0,300.0,230.0,500.0,120.0,700.0,300.0,220.0,280.0,290.0,500.0,320.0,140.0,290.0,450.0,270.0,240.0,130.0,220.0,330.0,15.0,8.0,1.0,0.3,0.7,0.8,5.0,120.0,10.0,0.6,5.0,15.0,8.0,22.0,50.0,30.0,1.5,80.0,4.0,0.0,1.0,25.0,0.0,0.0,0.0,0.8,1.5,1.0,1.1
122,ice_cream,nosh,Desserts,24.0,3.5,11.0,140.0,0.03,0.2,0.1,0.4,0.05,9.0,10.0,0.4,0.6,1.3,0.3,1.5,128.0,0.2,13.0,99.0,199.0,59.0,0.5,40.0,0.02,1.5,9.0,147.0,112.0,108.0,174.0,25.0,544.0,147.0,84.0,64.0,146.0,289.0,239.0,82.0,143.0,234.0,181.0,148.0,37.0,147.0,181.0,7.0,3.0,0.4,0.04,0.36,0.3,0.2,120.0,0.1,0.1,15.0,5.0,4.0,10.0,10.0,50.0,0.8,44.0,1.0,0.0,0.0,61.5,0.0,0.5,0.5,0.1,0.2,0.2,0.1
123,pie,nosh,Desserts,38.0,3.0,12.0,200.0,0.05,0.05,0.3,0.3,0.1,5.0,15.0,0.1,1.0,0.5,0.5,2.0,20.0,1.5,10.0,30.0,80.0,270.0,0.3,30.0,0.1,5.0,7.0,110.0,100.0,85.0,120.0,20.0,300.0,120.0,70.0,50.0,120.0,200.0,170.0,60.0,90.0,150.0,130.0,100.0,30.0,90.0,150.0,4.0,5.0,1.0,0.1,0.9,0.2,0.1,180.0,0.2,0.05,10.0,8.0,7.0,15.0,15.0,20.0,1.0,30.0,2.0,0.0,0.0,45.0,0.0,0.2,0.2,0.05,0.1,0.1,0.05
124,cake,nosh,Desserts,51.0,4.5,17.0,200.0,0.1,0.12,0.4,0.5,0.2,12.0,20.0,0.3,0.5,0.5,0.7,2.5,50.0,1.5,20.0,40.0,120.0,200.0,0.5,50.0,0.3,5.0,10.0,130.0,120.0,100.0,140.0,40.0,310.0,140.0,80.0,60.0,130.0,230.0,200.0,80.0,110.0,170.0,150.0,130.0,40.0,110.0,170.0,8.0,6.0,2.0,0.1,1.9,0.3,0.2,120.0,0.3,0.1,25.0,12.0,9.0,20.0,15.0,20.0,1.2,60.0,2.5,0.0,0.0,28.0,0.0,0.4,0.2,0.2,0.2,0.3,0.2
125,donut,nosh,Desserts,49.0,3.0,23.0,180.0,0.06,0.08,0.5,0.4,0.15,8.0,18.0,0.2,0.8,0.6,0.6,2.0,30.0,1.2,15.0,35.0,100.0,310.0,0.4,45.0,0.3,4.0,9.0,100.0,90.0,80.0,120.0,30.0,250.0,120.0,70.0,50.0,100.0,200.0,150.0,60.0,100.0,140.0,120.0,110.0,30.0,100.0,150.0,12.0,8.0,3.0,0.3,2.7,1.0,0.1,80.0,0.2,0.05,10.0,10.0,7.0,18.0,20.0,25.0,1.0,80.0,1.5,0.0,0.0,23.0,0.0,0.3,0.2,0.1,0.1,0.3,0.1
126,cereal,nosh,Breakfast Foods,84.0,8.0,1.0,731.0,1.18,1.27,14.5,1.2,1.5,30.0,600.0,6.0,21.0,5.7,10.0,2.5,11.0,8.0,5.0,18.0,68.0,661.0,11.0,200.0,0.5,16.2,70.0,500.0,600.0,1000.0,1200.0,200.0,3200.0,200.0,500.0,300.0,500.0,900.0,400.0,300.0,600.0,500.0,600.0,500.0,100.0,400.0,600.0,0.1,0.2,0.4,0.1,0.3,0.0,0.1,100.0,0.2,0.0,100.0,3.0,3.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
127,Pancake,nosh,Breakfast Foods,28.3,6.0,4.5,200.0,0.05,0.1,1.1,0.3,0.1,5.0,30.0,0.5,0.5,1.0,0.3,2.0,40.0,2.3,12.0,64.0,130.0,430.0,0.5,30.0,0.2,6.0,10.0,270.0,300.0,600.0,800.0,100.0,2000.0,200.0,300.0,150.0,300.0,500.0,400.0,150.0,300.0,400.0,300.0,300.0,100.0,250.0,400.0,1.2,1.5,0.5,0.1,0.4,0.0,0.0,100.0,0.1,0.0,20.0,4.0,3.0,6.0,0.0,0.0,1.0,60.0,0.0,0.0,0.1,60.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
128,waffle,nosh,Breakfast Foods,28.0,6.5,10.5,250.0,0.06,0.12,1.2,0.4,0.1,5.0,35.0,0.6,0.5,1.0,0.4,2.5,50.0,2.5,14.0,70.0,140.0,500.0,0.6,35.0,0.3,6.5,11.0,280.0,310.0,630.0,830.0,110.0,2100.0,220.0,320.0,160.0,320.0,520.0,420.0,160.0,310.0,420.0,320.0,320.0,110.0,260.0,430.0,3.0,3.5,1.0,0.2,0.5,0.0,0.0,100.0,0.1,0.0,20.0,4.0,3.0,6.0,0.0,0.0,1.0,60.0,0.0,0.0,0.1,60.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
129,oatmeal,nosh,Breakfast Foods,66.0,16.9,6.9,0.0,0.76,0.14,0.9,1.0,0.12,0.0,58.0,0.0,0.0,0.0,0.3,0.0,54.0,4.3,177.0,523.0,429.0,2.0,3.1,0.6,4.9,34.4,0.0,548.0,673.0,1085.0,1170.0,211.0,1910.0,120.0,389.0,265.0,434.0,805.0,504.0,146.0,438.0,582.0,580.0,392.0,83.0,389.0,477.0,1.2,1.5,3.1,0.3,2.8,0.0,0.0,0.0,0.5,0.0,0.3,0.7,0.6,0.8,0.0,0.0,10.0,0.0,0.5,0.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
130,egg,nosh,Breakfast Foods,0.6,12.6,10.6,540.0,0.04,0.5,0.1,1.4,0.1,20.0,47.0,1.1,0.0,1.1,1.0,0.3,56.0,1.8,12.0,172.0,126.0,142.0,1.0,60.0,0.0,30.0,24.0,654.0,852.0,1395.0,1423.0,211.0,2096.0,317.0,413.0,263.0,621.0,937.0,869.0,379.0,510.0,517.0,500.0,590.0,164.0,413.0,550.0,3.1,4.0,1.4,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.2,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,coca_cola,nosh,Beverages,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.02,1.0,13.0,1.0,11.0,0.01,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9,0.0,9.0,0.0,0.0,0.0,0.0,0.0
132,pepsi,nosh,Beverages,11.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,coffee,nosh,Beverages,0.0,0.3,0.1,0.0,0.01,0.1,0.3,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,115.0,2.0,0.1,0.1,0.2,0.0,0.0,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,99.9,0.0,40.0,0.5,0.1,0.0,0.0,0.0
134,tea,nosh,Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,10.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,99.9,0.0,40.0,0.5,0.3,0.0,0.0,0.0
135,lemonade,nosh,Beverages,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,93.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
136,beer,nosh,Beverages,3.6,0.3,0.0,0.0,0.01,0.02,0.1,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,10.0,10.0,20.0,5.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,1.5,1.5,2.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,95.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0
137,mayonnaise,nosh,Condiments,0.6,1.0,75.0,50.0,0.01,0.02,0.08,0.16,0.06,4.0,5.0,0.3,0.3,0.3,3.0,163.0,9.0,0.2,2.0,22.0,20.0,635.0,0.2,20.0,0.01,5.5,3.0,36.0,54.0,71.0,96.0,17.0,158.0,54.0,34.0,25.0,42.0,69.0,57.0,30.0,44.0,51.0,52.0,42.0,11.0,30.0,49.0,11.7,23.5,34.0,1.2,32.8,0.1,0.0,300.0,0.0,0.0,52.0,0.1,0.1,0.2,0.2,1.0,0.0,42.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,guacamole,nosh,Condiments,8.5,2.0,15.0,146.0,0.06,0.09,1.6,1.0,0.29,0.0,81.0,0.0,10.0,0.0,2.0,20.0,12.0,0.55,29.0,34.0,485.0,7.0,0.64,0.19,0.14,0.5,0.0,40.0,55.0,30.0,45.0,8.0,75.0,35.0,20.0,12.0,16.0,28.0,23.0,8.0,16.0,22.0,24.0,18.0,4.0,12.0,20.0,2.1,10.0,1.8,0.1,1.7,0.0,0.0,1500.0,50.0,0.0,0.6,0.8,0.9,0.5,0.1,0.2,6.7,0.0,2.5,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,salsa,nosh,Condiments,5.0,1.0,0.2,250.0,0.05,0.03,1.0,0.2,0.1,0.0,20.0,0.0,15.0,0.0,0.3,10.0,20.0,0.8,15.0,25.0,300.0,500.0,0.3,30.0,0.2,0.5,0.0,20.0,22.0,18.0,20.0,6.0,30.0,20.0,15.0,10.0,12.0,18.0,15.0,6.0,12.0,15.0,15.0,12.0,4.0,10.0,15.0,0.1,0.1,0.0,0.0,0.0,0.0,3.0,500.0,15.0,0.0,0.2,1.0,1.5,2.0,0.3,0.2,1.0,0.0,2.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,ketchup,nosh,Condiments,24.0,1.0,0.2,50.0,0.02,0.02,0.4,0.1,0.1,0.0,10.0,0.0,10.0,0.0,0.5,5.0,20.0,0.5,15.0,20.0,300.0,800.0,0.2,30.0,0.2,0.1,0.0,16.0,18.0,15.0,20.0,6.0,25.0,12.0,10.0,8.0,10.0,14.0,12.0,5.0,8.0,12.0,12.0,10.0,2.0,10.0,12.0,0.1,0.1,0.0,0.0,0.0,0.0,3.0,200.0,20.0,0.0,0.1,8.0,8.0,8.0,0.5,0.2,1.0,0.0,1.5,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,potato_chip,nosh,Snacks,52.0,7.0,35.0,0.0,0.06,0.03,1.4,0.3,0.2,0.0,40.0,0.0,14.0,0.0,3.5,30.0,24.0,1.3,45.0,120.0,1200.0,580.0,0.8,190.0,0.3,1.3,0.0,280.0,350.0,770.0,880.0,150.0,1250.0,0.0,320.0,190.0,340.0,570.0,430.0,140.0,420.0,550.0,350.0,280.0,100.0,280.0,370.0,10.0,20.0,4.0,0.3,3.7,0.1,10.0,0.0,50.0,0.0,20.0,0.1,0.1,0.2,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,popcorn,nosh,Snacks,77.0,9.0,4.0,0.0,0.4,0.1,1.2,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8.0,1.2,90.0,35.0,270.0,1.0,0.6,100.0,1.0,0.0,0.0,300.0,500.0,700.0,800.0,80.0,1100.0,0.0,200.0,100.0,220.0,370.0,300.0,120.0,300.0,250.0,220.0,200.0,70.0,150.0,250.0,0.5,1.0,2.5,0.1,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.4,0.5,0.8,0.0,0.0,14.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,cracker,nosh,Snacks,71.0,7.0,18.0,0.0,0.4,0.3,2.0,0.6,0.2,0.0,40.0,0.0,0.0,0.0,0.7,0.0,40.0,2.8,50.0,110.0,190.0,500.0,1.0,200.0,0.8,20.0,0.0,300.0,500.0,500.0,600.0,100.0,700.0,0.0,150.0,100.0,200.0,300.0,250.0,100.0,200.0,150.0,150.0,150.0,50.0,100.0,150.0,3.5,8.0,5.0,0.3,4.0,0.5,2.0,0.0,15.0,0.0,15.0,0.5,0.5,1.5,0.0,0.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
144,beef_jerky,nosh,Snacks,8.0,33.0,7.0,20.0,0.4,0.2,7.0,0.6,0.6,0.0,15.0,1.6,0.0,0.0,0.5,0.0,20.0,4.0,30.0,220.0,500.0,1500.0,3.0,90.0,0.6,30.0,0.0,1600.0,2200.0,700.0,800.0,200.0,1500.0,0.0,1000.0,300.0,600.0,1200.0,1000.0,200.0,600.0,1000.0,600.0,600.0,200.0,600.0,600.0,2.5,2.5,1.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,burger,nosh,Fast Food,20.0,15.0,13.0,60.0,0.1,0.2,4.0,0.5,0.3,5.0,20.0,1.0,5.0,0.2,0.7,10.0,80.0,2.0,20.0,150.0,200.0,450.0,2.5,150.0,0.3,12.0,20.0,700.0,800.0,900.0,1000.0,200.0,1500.0,1000.0,700.0,300.0,600.0,1000.0,900.0,200.0,500.0,800.0,600.0,500.0,200.0,400.0,700.0,5.0,4.0,1.0,0.2,0.8,0.5,10.0,150.0,20.0,5.0,10.0,2.0,1.0,1.0,50.0,20.0,1.5,60.0,10.0,0.0,1.0,45.0,0.0,0.0,0.0,5.0,1.0,5.0,2.0
146,french_fries,nosh,Fast Food,41.0,3.4,15.0,0.0,0.1,0.05,1.2,0.3,0.3,0.0,30.0,0.0,10.0,0.0,1.5,0.0,12.0,0.8,30.0,34.0,400.0,230.0,0.4,100.0,0.1,1.5,0.0,150.0,100.0,200.0,300.0,20.0,350.0,150.0,70.0,50.0,60.0,110.0,80.0,30.0,70.0,100.0,80.0,60.0,20.0,50.0,90.0,2.0,6.0,6.0,0.1,5.0,0.5,10.0,30.0,15.0,5.0,10.0,0.5,0.3,1.0,10.0,8.0,3.0,0.0,20.0,0.0,0.5,50.0,0.0,0.0,0.0,5.0,8.0,5.0,2.0
147,pizza,nosh,Fast Food,36.0,12.0,15.0,300.0,0.3,0.4,2.0,0.6,0.5,10.0,50.0,1.0,10.0,0.5,2.0,30.0,200.0,2.0,50.0,200.0,300.0,800.0,1.0,150.0,0.5,20.0,15.0,250.0,200.0,400.0,500.0,50.0,600.0,300.0,150.0,80.0,150.0,250.0,200.0,50.0,120.0,200.0,150.0,120.0,50.0,80.0,180.0,6.0,8.0,1.5,0.1,1.0,0.5,20.0,200.0,30.0,10.0,20.0,1.0,0.8,2.0,15.0,10.0,2.5,25.0,25.0,0.0,1.0,45.0,0.0,0.0,0.0,10.0,10.0,10.0,5.0
148,chicken_nugget,nosh,Fast Food,15.0,13.0,10.0,200.0,0.2,0.2,2.0,0.5,0.4,5.0,20.0,0.8,5.0,0.3,1.0,15.0,50.0,1.5,25.0,100.0,250.0,600.0,1.0,50.0,0.2,15.0,10.0,300.0,250.0,300.0,400.0,40.0,500.0,300.0,200.0,70.0,100.0,200.0,150.0,50.0,100.0,150.0,120.0,100.0,40.0,70.0,120.0,3.0,5.0,2.0,0.2,1.8,0.3,5.0,50.0,10.0,3.0,5.0,0.5,0.2,1.0,5.0,7.0,2.0,50.0,15.0,0.0,0.3,50.0,0.0,0.0,0.0,5.0,5.0,4.0,2.0
149,taco,nosh,Fast Food,20.0,10.0,12.0,150.0,0.2,0.3,1.5,0.4,0.3,5.0,30.0,0.5,15.0,0.2,1.0,20.0,100.0,2.0,40.0,150.0,200.0,500.0,1.5,80.0,0.3,15.0,10.0,200.0,150.0,250.0,300.0,30.0,350.0,250.0,100.0,60.0,80.0,150.0,120.0,40.0,90.0,120.0,100.0,80.0,30.0,60.0,100.0,4.0,6.0,2.0,0.1,1.5,0.2,10.0,100.0,20.0,5.0,8.0,0.8,0.5,1.0,8.0,5.0,3.0,30.0,20.0,0.0,0.5,55.0,0.0,0.0,0.0,7.0,7.0,6.0,3.0
