,name,category,sub_category,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Probiotics,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates
64,bean_sprouts,vegetable,Sprouts,5.8,3.0,0.2,38.0,0.1,0.15,0.7,0.2,0.2,0.5,30.0,0.0,13.0,0.0,0.2,30.0,37.0,1.8,33.0,34.0,75.0,7.0,0.6,0.1,0.2,0.0,0.0,0.2,0.4,0.5,0.6,0.1,0.8,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.03,0.1,0.1,0.05,0.1,0.1,0.03,0.08,0.0,2.0,1.0,0.5,0.3,0.04,0.5,0.5,0.5,0.6,0.4,2.0,0.0,1.0,0.0,0.2,90.0,0.0,0.0,0.0,0.1,0.3,0.2,0.8
65,broccoli_sprouts,vegetable,Sprouts,6.0,3.0,0.6,40.0,0.08,0.12,0.8,0.3,0.2,0.5,30.0,0.0,90.0,0.0,0.8,100.0,47.0,0.9,33.0,30.0,100.0,15.0,0.4,0.1,0.2,0.5,0.0,0.2,0.3,0.4,0.5,0.1,0.8,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.03,0.1,0.1,0.1,0.3,0.2,0.04,0.15,0.0,3.0,1.5,0.8,0.4,0.05,0.6,0.6,0.6,0.7,0.5,2.5,0.0,1.5,0.0,0.3,91.0,0.0,0.0,0.0,0.2,0.3,0.2,1.2
66,almond,seed,Nuts,21.7,21.2,49.9,1.0,0.21,1.01,3.6,0.47,0.14,0.0,50.0,0.0,0.0,0.0,25.6,0.0,269.0,3.7,270.0,481.0,733.0,1.0,3.1,1.0,2.3,4.1,0.0,1.0,2.5,0.0,2.6,0.5,6.3,0.0,1.5,0.6,0.8,1.5,0.6,0.2,1.2,1.0,1.2,0.6,0.2,0.5,0.8,3.7,31.6,12.3,0.0,12.3,0.0,0.0,1.0,0.0,0.0,120.0,0.0,0.0,3.9,0.0,0.0,12.5,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,cashew,seed,Nuts,30.2,18.2,43.8,0.0,0.42,0.12,1.0,0.86,0.42,0.0,25.0,0.0,0.5,0.0,0.9,34.0,37.0,6.7,292.0,593.0,660.0,12.0,5.8,2.2,1.7,19.9,0.0,0.7,2.1,0.0,1.5,0.1,3.3,0.0,0.6,0.4,0.6,1.1,0.6,0.2,1.0,0.6,0.7,0.4,0.2,0.4,0.7,7.8,23.8,7.8,0.2,7.6,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,5.9,0.0,0.0,3.3,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,chestnut,seed,Nuts,45.0,2.4,0.6,0.0,0.2,0.1,0.8,0.4,0.3,0.0,60.0,0.0,43.0,0.0,0.4,0.0,18.0,0.9,30.0,34.0,500.0,0.0,0.6,0.2,0.7,0.0,0.0,0.2,0.4,0.2,0.3,0.1,0.4,0.2,0.2,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,hazelnut,seed,Nuts,16.7,14.1,60.8,20.0,0.6,0.1,2.6,0.8,0.6,0.0,113.0,0.0,6.0,0.0,15.0,0.0,114.0,4.7,163.0,290.0,680.0,0.0,2.5,1.7,6.2,0.0,0.0,0.6,2.7,0.8,1.0,0.2,2.0,0.7,0.4,0.3,0.6,1.0,0.8,0.2,0.7,0.6,0.5,0.5,0.1,0.4,0.7,4.5,45.6,8.9,0.1,8.8,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,4.2,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,pistachio,seed,Nuts,28.0,20.2,45.4,0.0,0.9,0.2,1.5,0.9,1.7,0.0,30.0,0.0,5.0,0.0,2.9,0.0,105.0,4.0,121.0,500.0,1025.0,1.0,2.2,1.3,1.2,0.0,0.0,0.9,3.3,1.0,1.2,0.5,2.0,1.2,0.8,0.6,0.9,1.3,1.0,0.5,0.9,0.9,0.8,0.8,0.2,0.6,0.9,5.0,24.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,7.7,0.0,0.0,10.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,walnut,seed,Nuts,28.0,20.2,45.4,0.0,0.9,0.2,1.5,0.9,1.7,0.0,30.0,0.0,5.0,0.0,2.9,0.0,105.0,4.0,121.0,500.0,1025.0,1.0,2.2,1.3,1.2,0.0,0.0,0.9,3.3,1.0,1.2,0.5,2.0,1.2,0.8,0.6,0.9,1.3,1.0,0.5,0.9,0.9,0.8,0.8,0.2,0.6,0.9,5.0,24.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,7.7,0.0,0.0,10.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,pine_nut,seed,Nuts,13.7,15.2,65.2,0.0,0.3,0.1,1.2,0.5,0.6,0.0,98.0,0.0,1.3,0.0,0.7,2.7,98.0,2.9,158.0,346.0,441.0,2.0,3.1,1.6,3.4,0.0,0.0,0.6,3.2,0.8,1.3,0.2,2.7,1.3,0.7,0.4,0.8,1.3,0.9,0.3,0.9,0.9,0.7,0.7,0.2,0.6,0.9,6.0,8.9,47.0,9.0,38.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,2.6,0.0,0.0,6.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,sunflower_seed,seed,Seeds,20.0,20.8,51.5,0.0,1.5,0.3,8.3,1.1,1.3,66.0,227.0,0.0,1.4,0.0,35.2,0.0,78.0,5.3,325.0,660.0,645.0,9.0,5.0,1.8,1.9,53.0,0.0,1.0,2.5,2.5,2.9,0.4,5.8,0.7,1.3,0.7,0.9,1.4,0.6,0.5,1.3,1.1,1.2,0.8,0.3,0.6,1.1,4.5,18.5,23.1,0.1,23.1,0.0,0.0,50.0,0.0,0.0,534.0,2.7,2.7,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,pumpkin_seed,seed,Seeds,10.7,19.0,49.1,0.0,0.2,0.2,4.9,0.5,0.1,0.0,58.0,0.0,1.9,0.0,2.2,7.3,46.0,3.3,592.0,1233.0,809.0,18.0,7.8,1.3,4.5,5.6,0.0,0.9,4.3,2.3,2.3,0.4,5.4,0.7,1.2,0.5,0.8,1.4,1.2,0.5,1.0,0.9,1.0,0.8,0.6,0.6,1.0,8.7,15.0,19.0,0.3,18.5,0.0,0.0,0.0,0.0,0.0,265.0,1.4,1.3,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,chia_seed,seed,Seeds,42.1,16.5,30.7,54.0,0.6,0.2,8.8,1.1,0.5,0.0,49.0,0.0,1.6,0.0,0.5,0.0,631.0,7.7,335.0,860.0,407.0,16.0,4.6,0.9,2.7,55.0,0.0,0.9,1.7,1.3,1.5,0.4,3.0,0.5,0.9,0.6,0.8,1.4,0.9,0.6,0.9,0.9,0.8,0.7,0.3,0.6,0.9,3.3,2.3,23.7,17.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.1,0.0,0.0,34.4,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
