name,category,sub_category,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates,nutriscore
Kiwi,fruit,Tropical Fruits,0.17452380952380953,0.03081081081081081,0.0052525252525252525,0.0,0.016874999999999998,0.019230769230769232,0.022733333333333335,0.123125,0.05764705882352941,0.0,0.028333333333333332,0.0,0.4062226117440842,0.0,0.041477272727272724,0.023512252042007,0.021383647798742137,0.007416267942583732,0.028716216216216218,0.027575020275750203,0.24702144559173947,0.0016277807921866521,0.0023333333333333335,0.00010256410256410257,0.014,0.0,0.0,0.02125,0.022272727272727274,0.055197132616487454,0.06394940267041462,0.0,0.036875,0.0,0.0,0.08666666666666667,0.05958132045088567,0.041666666666666664,0.045,0.0,0.07166666666666667,0.0,0.08,0.06,0.0,0.0,0.06285714285714286,0.0012903225806451613,0.0006578947368421052,0.007872340425531916,0.0021929824561403508,0.008421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.5700000000000001,0.1142857142857143,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.8291203235591507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Peach,fruit,Drupes Fruits,0.1130952380952381,0.024324324324324326,0.00202020202020202,0.04613207547169811,0.01875,0.015384615384615384,0.05333333333333334,0.18749999999999997,0.01764705882352941,0.0,0.008333333333333333,0.0,0.028921998247151623,0.0,0.020738636363636362,0.001691948658109685,0.0037735849056603774,0.004784688995215312,0.015202702702702704,0.012165450121654502,0.15011914217633043,0.0,0.0016666666666666668,0.0001282051282051282,0.008571428571428572,0.0,0.0,1.25e-05,9.090909090909091e-06,3.5842293906810036e-05,2.8109627547434998e-05,4.739336492890995e-05,2.1875000000000003e-05,2.9999999999999997e-05,1e-05,6.666666666666667e-05,3.2206119162640905e-05,3.3333333333333335e-05,2.9999999999999997e-05,2.6385224274406334e-05,3.3333333333333335e-05,2e-05,3.3333333333333335e-05,3.3333333333333335e-05,5e-05,3.3333333333333335e-05,4.2857142857142856e-05,0.0004838709677419355,0.0004385964912280702,0.002127659574468085,0.0008771929824561404,0.002105263157894737,0.0,0.0,0.17307692307692307,0.0,0.0,0.0,0.42000000000000004,0.38,0.04642857142857143,0.00975609756097561,0.0,0.03571428571428571,0.0,0.0,0.004761904761904762,0.8897876643073811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Plum,fruit,Drupes Fruits,0.13571428571428573,0.018918918918918916,0.00202020202020202,0.032547169811320754,0.01875,0.015384615384615384,0.04,0.125,0.01764705882352941,0.0,0.008333333333333333,0.0,0.04163014899211218,0.0,0.008522727272727272,0.0037339556592765463,0.00440251572327044,0.004784688995215312,0.016891891891891893,0.013787510137875101,0.12390786338363781,0.0,0.0016666666666666668,0.0001282051282051282,0.008571428571428572,0.0,0.0,1.25e-05,9.090909090909091e-06,3.5842293906810036e-05,2.8109627547434998e-05,4.739336492890995e-05,2.1875000000000003e-05,2.9999999999999997e-05,1e-05,6.666666666666667e-05,3.2206119162640905e-05,3.3333333333333335e-05,2.9999999999999997e-05,2.6385224274406334e-05,3.3333333333333335e-05,2e-05,3.3333333333333335e-05,3.3333333333333335e-05,5e-05,3.3333333333333335e-05,4.2857142857142856e-05,0.0004838709677419355,0.0004385964912280702,0.002127659574468085,0.0008771929824561404,0.002105263157894737,0.0,0.0,0.1476923076923077,0.0,0.0,0.0,0.355,0.32,0.03928571428571429,0.01056910569105691,0.0,0.03333333333333333,0.0,0.0,0.004761904761904762,0.8897876643073811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Apricot,fruit,Drupes Fruits,0.13214285714285715,0.013513513513513514,0.00101010101010101,0.018113207547169812,0.03125,0.04615384615384615,0.04,0.0625,0.0411764705882353,0.0,0.028333333333333332,0.0,0.04382120946538125,0.0,0.002840909090909091,0.001925320886814469,0.008176100628930818,0.009569377990430623,0.016891891891891893,0.012976480129764802,0.20492454328832407,0.0005425935973955507,0.0016666666666666668,0.0001282051282051282,0.014285714285714287,0.0,0.0,1.875e-05,2.272727272727273e-05,4.301075268817204e-05,7.02740688685875e-05,0.0,3.125e-05,0.0,2e-05,6.666666666666667e-05,4.830917874396135e-05,4.166666666666667e-05,5e-05,0.0,4.9999999999999996e-05,2.9999999999999997e-05,6.666666666666667e-05,3.3333333333333335e-05,5e-05,3.3333333333333335e-05,5.714285714285714e-05,0.00016129032258064516,0.0006578947368421052,0.0002127659574468085,0.0004385964912280702,0.0002631578947368421,0.0,0.0025,0.09230769230769231,0.1,0.0,0.0,0.075,0.2,0.21428571428571427,0.0040650406504065045,0.0,0.047619047619047616,0.0,0.0035211267605633804,0.0,0.8594539939332658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Cherry,fruit,Drupes Fruits,0.19047619047619047,0.02702702702702703,0.00202020202020202,0.0060377358490566035,0.024999999999999998,0.023076923076923075,0.013333333333333334,0.125,0.03529411764705882,0.0,0.011666666666666667,0.0,0.04382120946538125,0.0,0.002840909090909091,0.0011668611435239206,0.008176100628930818,0.004784688995215312,0.018581081081081082,0.0170316301703163,0.1755361397934869,0.0010851871947911015,0.0016666666666666668,0.0001282051282051282,0.014285714285714287,0.0,0.0,3.125e-05,2.272727272727273e-05,5.017921146953406e-05,7.02740688685875e-05,0.0,3.125e-05,0.0,2.9999999999999997e-05,6.666666666666667e-05,4.830917874396135e-05,4.166666666666667e-05,4e-05,0.0,4.9999999999999996e-05,2.9999999999999997e-05,6.666666666666667e-05,3.3333333333333335e-05,5e-05,3.3333333333333335e-05,5.714285714285714e-05,0.0016129032258064516,0.0015350877192982456,0.0002127659574468085,0.0004385964912280702,0.0002631578947368421,0.0,0.005,0.023076923076923078,0.1,0.0,0.0,0.4,0.6,0.07142857142857142,0.0040650406504065045,0.0,0.047619047619047616,0.0,0.0035211267605633804,0.0,0.8190091001011122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Watermelon,fruit,Melons,0.08988095238095238,0.016486486486486485,0.0015151515151515152,0.053679245283018866,0.020625,0.016153846153846154,0.006533333333333334,0.159375,0.026470588235294117,0.0,0.005,0.0,0.03549517966695881,0.0,0.002840909090909091,0.001575262543757293,0.00440251572327044,0.006698564593301436,0.016891891891891893,0.008921330089213302,0.08816521048451152,0.0005425935973955507,0.0016666666666666668,5.1282051282051286e-05,0.0071428571428571435,0.0,0.0,3.375e-05,2.590909090909091e-05,3.5842293906810036e-05,7.589599437807449e-05,7.582938388625592e-05,4.9375e-05,1e-05,4.2000000000000004e-05,5.333333333333333e-05,4.5088566827697266e-05,3.0833333333333335e-05,3.8e-05,5.277044854881267e-05,5.333333333333333e-05,3.2e-05,7.000000000000001e-05,4.3333333333333334e-05,7.000000000000001e-05,3.8333333333333334e-05,5.2857142857142855e-05,0.00022580645161290324,0.0003508771929824561,0.00023404255319148934,8.771929824561403e-05,0.0002105263157894737,0.0,0.001,0.34615384615384615,0.01,0.0,0.00018726591760299626,0.13,0.33999999999999997,0.05357142857142857,0.0008130081300813008,0.0006,0.009523809523809525,0.0,0.0007042253521126761,0.0,0.9144590495449949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Muskmelon,fruit,Melons,0.09714285714285714,0.022702702702702703,0.0019191919191919192,0.015943396226415094,0.023124999999999996,0.02076923076923077,0.0224,0.15625,0.04294117647058823,0.0,0.05,0.0,0.1608238387379492,0.0,0.0014204545454545455,0.0014585764294049008,0.005660377358490566,0.005023923444976076,0.02027027027027027,0.009732360097323601,0.21127879269261318,0.0010851871947911015,0.0011666666666666668,5.1282051282051286e-05,0.012857142857142857,0.0,0.0,3.625e-05,3.1363636363636365e-05,4.0860215053763444e-05,8.432888264230498e-05,8.056872037914692e-05,5.0625000000000004e-05,1.2e-05,4.6e-05,6.666666666666667e-05,4.830917874396135e-05,3.25e-05,4.2000000000000004e-05,6.068601583113456e-05,5.666666666666667e-05,3.4e-05,7.5e-05,4.6666666666666665e-05,8e-05,4.5e-05,5.714285714285714e-05,0.0006774193548387097,0.0011184210526315789,0.000425531914893617,4.3859649122807014e-05,0.0005,0.0,0.0015,0.2846153846153846,0.013999999999999999,0.0,9.363295880149813e-05,0.13999999999999999,0.36,0.05714285714285715,0.0016260162601626016,0.001,0.02142857142857143,0.0,0.0014084507042253522,0.0,0.8958543983822042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Apple,fruit,Pome Fruits,0.16440476190476191,0.007027027027027027,0.0017171717171717174,0.005094339622641509,0.010625,0.019999999999999997,0.006066666666666666,0.015625,0.024117647058823532,0.0,0.005,0.0,0.020157756354075372,0.0,0.005113636363636363,0.0012835472578763129,0.0037735849056603774,0.0028708133971291866,0.008445945945945946,0.008921330089213302,0.08419380460683082,0.0010851871947911015,0.0006666666666666666,3.846153846153846e-05,0.0071428571428571435,0.0,0.0,8.750000000000001e-06,7.272727272727273e-06,9.318996415770609e-06,1.9676739283204498e-05,5.687203791469194e-05,1e-05,8.999999999999999e-06,1.4999999999999999e-05,3.6666666666666666e-05,2.898550724637681e-05,2.0833333333333336e-05,2e-05,2.6385224274406334e-05,2.8333333333333335e-05,1.6e-05,2.8333333333333335e-05,2.3333333333333332e-05,4.4999999999999996e-05,2.1666666666666667e-05,3.1428571428571424e-05,0.000467741935483871,0.0005263157894736842,0.0004042553191489362,4.3859649122807014e-05,0.00047368421052631577,0.0,0.0025,0.07692307692307693,0.02,0.0,1.8726591760299626e-05,0.12,0.5900000000000001,0.017857142857142856,0.0040650406504065045,0.0002,0.05714285714285714,0.0,0.0035211267605633804,0.002380952380952381,0.855005055611729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Pear,fruit,Pome Fruits,0.1813095238095238,0.00972972972972973,0.0014141414141414144,9.433962264150943e-05,0.0075,0.019999999999999997,0.010933333333333333,0.031874999999999994,0.015882352941176472,0.0,0.011666666666666667,0.0,0.018843120070113937,0.0,0.004261363636363636,0.0014585764294049008,0.005660377358490566,0.004066985645933015,0.011824324324324325,0.009732360097323601,0.09134233518665608,0.0005425935973955507,0.0016666666666666668,6.41025641025641e-05,0.01,0.0,0.0,1.1249999999999999e-05,9.545454545454547e-06,1.2903225806451613e-05,2.6704146170063247e-05,6.635071090047393e-05,1.25e-05,1.1e-05,1.9e-05,4.3333333333333334e-05,3.542673107890499e-05,2.3333333333333332e-05,2.5e-05,3.430079155672823e-05,3.5000000000000004e-05,2e-05,3.3333333333333335e-05,2.4999999999999998e-05,5e-05,2.4999999999999998e-05,3.285714285714286e-05,0.00033870967741935485,0.0008333333333333333,0.00031914893617021275,4.3859649122807014e-05,0.00036842105263157896,0.0,0.003,0.038461538461538464,0.018000000000000002,0.0,5.617977528089887e-05,0.155,0.62,0.05357142857142857,0.0016260162601626016,0.0004,0.07380952380952381,0.0,0.004225352112676056,0.004761904761904762,0.8487360970677451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Spinach,vegetable,Leafy Greens,0.04285714285714286,0.07837837837837838,0.00404040404040404,0.4430188679245283,0.048749999999999995,0.1453846153846154,0.036000000000000004,0.08999999999999998,0.11470588235294119,0.007575757575757576,0.3233333333333333,0.0,0.1231375985977213,0.0,0.05767045454545454,0.28179696616102684,0.062264150943396226,0.06483253588516746,0.13344594594594594,0.039740470397404706,0.44241461477362987,0.04286489419424851,0.008833333333333334,0.00016666666666666666,0.12814285714285714,0.011185682326621923,0.0,0.056875,0.06636363636363636,0.0982078853046595,0.16092761770906536,0.1895734597156398,0.145,0.0,0.045,0.14333333333333334,0.09500805152979067,0.06583333333333333,0.082,0.0633245382585752,0.1,0.054,0.13333333333333333,0.075,0.05,0.06333333333333334,0.09714285714285714,0.0011290322580645162,0.0013157894736842105,0.004893617021276596,0.0043859649122807015,0.0034210526315789475,0.0,0.04,0.38769230769230767,0.12,0.0016129032258064516,0.018726591760299626,0.0215,0.024,0.0064285714285714285,0.0032520325203252032,0.002,0.05238095238095238,0.0,0.1056338028169014,0.002380952380952381,0.9140546006066734,0.0,0.0,0.0,0.018018018018018018,0.05,0.05,0.01,1.0
